,text,target,vectorized
0,"['sure', 'look', 'happened', 'japanese', 'citizens', 'us', 'world', 'war', 'ii', 'prepared', 'say', 'let', 'round', 'people', 'stick', 'concentration', 'camp', 'without', 'trial', 'short', 'step', 'gassing', 'without', 'trial', 'seems', 'nazis', 'originally', 'intended', 'imprison', 'jews', 'final', 'solution', 'dreamt', 'partly', 'could', 'afford', 'run', 'camps', 'devastation', 'caused', 'goering', 'total', 'war', 'gassed', 'generally', 'died', 'malnutrition', 'disease']",alt.atheism,"[-0.35489327  0.46809992 -0.07652763  0.2263848   0.24782997  0.0406534
 -0.14650679  0.33122417 -0.2485198   0.39616057 -0.40032443 -0.3439398
 -0.20521057 -0.03669852  0.04892295 -0.04994933  0.15956344 -0.23220699
  0.1757617  -0.30059898  0.19167523  0.17785902  0.06439062 -0.12149665
  0.30799168  0.26015824 -0.2388714  -0.5276504  -0.10755885 -0.06926349
  0.7104825  -0.00540609  0.07127815 -0.2452102  -0.20063984  0.11564165
 -0.21115902 -0.03021042 -0.01729827 -0.5113551   0.2994068  -0.07812154
 -0.14598252  0.13232976 -0.20204271 -0.20633109 -0.3739102   0.19915774
  0.20183748  0.14412262  0.2711497  -0.26041806 -0.08405468  0.25332224
  0.12378928  0.3467106   0.13849534 -0.16410369 -0.35070178  0.20610033
  0.17389096  0.25287956 -0.21947692  0.15909848 -0.08765985  0.15815382
  0.08996875  0.2867564  -0.05451258  0.31148198 -0.1704384   0.12802058
  0.19571894  0.05634189  0.32678777  0.17513967  0.21370073 -0.03051274
  0.02584625 -0.3606636  -0.23818643 -0.23979801 -0.24344236  0.469388
 -0.00941586 -0.1807279  -0.04925686  0.39080045  0.23474924 -0.12512238
  0.19675468  0.19336624  0.19256699  0.02582805  0.02586252  0.33164757
  0.00079227 -0.21065646 -0.03935411  0.09704403]"
1,"['seem', 'like', 'little', 'things', 'least', 'orders', 'worse', 'motto', 'think', 'motto', 'little', 'thing', 'lead', 'worse', 'things']",alt.atheism,"[-0.48077837  0.6430152  -0.12509969  0.29233655  0.34579867  0.10844553
 -0.21058297  0.3338751  -0.29606888  0.5511348  -0.55357367 -0.40125486
 -0.27456304 -0.06409586  0.0696426  -0.07871114  0.21543793 -0.29369617
  0.21377775 -0.323112    0.22071709  0.24443485  0.06142897 -0.10808212
  0.45517126  0.33304563 -0.26912412 -0.7447353  -0.15810585 -0.09342073
  0.97310656  0.00408507  0.05300725 -0.3250443  -0.31930354  0.12989776
 -0.29619053 -0.00160132  0.03785643 -0.61992806  0.41914436 -0.08733378
 -0.13791111  0.1455446  -0.28565124 -0.25134876 -0.48735967  0.2799322
  0.2805261   0.15194985  0.36086145 -0.33323047 -0.08607525  0.31877187
  0.17367826  0.47308117  0.16626985 -0.2063138  -0.44680366  0.23267579
  0.22119184  0.33774975 -0.28450495  0.23792818 -0.0488562   0.17207865
  0.12010683  0.3910435  -0.04705138  0.37720326 -0.2349999   0.12376118
  0.23019986  0.08373709  0.41454476  0.2213954   0.2753237  -0.04158323
  0.08828301 -0.49427015 -0.32177037 -0.36843634 -0.32618707  0.5935052
  0.02284495 -0.26181704 -0.06053963  0.5142227   0.30351686 -0.18667538
  0.19372354  0.2583466   0.22982928 -0.00498969 -0.02975281  0.43361893
  0.01875888 -0.22761837 -0.05183021  0.1062345 ]"
2,"['deletions', 'first', 'infinity', 'mathematical', 'concept', 'created', 'humans', 'explain', 'certain', 'things', 'certain', 'way', 'know', 'actually', 'applies', 'reality', 'know', 'anything', 'world', 'infinite', 'know', 'universe', 'actually', 'continuous', 'continuum', 'another', 'mathematical', 'concept', 'based', 'infinity', 'used', 'explain', 'things', 'certain', 'way', 'pretty', 'good', 'idea', 'infinity', 'concept', 'like', 'many', 'concepts', 'evolved', 'time', 'ancient', 'greeks', 'different', 'understanding', 'precicely', 'even', 'know', 'infinity', 'applies', 'reality']",alt.atheism,"[-0.43910798  0.5831662  -0.11837247  0.26550838  0.31233308  0.09695915
 -0.19004564  0.30437    -0.26525405  0.50077164 -0.5024151  -0.3638102
 -0.25161442 -0.05479772  0.05768602 -0.0737377   0.19819677 -0.2717
  0.20108528 -0.29475647  0.20254591  0.22159071  0.05492897 -0.09688965
  0.41945896  0.30228868 -0.24386385 -0.6754176  -0.14504862 -0.08298364
  0.88954663  0.00795482  0.04122229 -0.29914573 -0.29167253  0.1128507
 -0.27152625  0.00311224  0.03992565 -0.5660376   0.3885442  -0.07360518
 -0.12278175  0.13512799 -0.261655   -0.22995423 -0.44336233  0.2601329
  0.26008698  0.13922106  0.3320123  -0.30019382 -0.0764442   0.29265743
  0.15873481  0.4312974   0.14830199 -0.18926518 -0.40532306  0.20955364
  0.1987747   0.3103976  -0.25889033  0.21874169 -0.04655151  0.15660548
  0.10927332  0.3525029  -0.03989269  0.34350884 -0.21307954  0.11242257
  0.21036631  0.07293651  0.37365028  0.19497064  0.2504085  -0.0354595
  0.08084043 -0.4476373  -0.29655313 -0.33416307 -0.29727218  0.5426142
  0.02365711 -0.242108   -0.05398998  0.4720063   0.27546027 -0.16808005
  0.17614959  0.23619503  0.2101101  -0.00449049 -0.02897612  0.38729134
  0.01169469 -0.207815   -0.05211154  0.09493496]"
3,"['thought', 'another', 'one', 'bible', 'definately', 'lack', 'religion', 'book', 'esther', 'read', 'day', 'reasons', 'describes', 'origin', 'jewish', 'celbration', 'joy', 'peace', 'long', 'short', 'story', 'people', 'killed', 'people', 'tripping', 'peacefull', 'solutions', 'lying', 'could', 'swing', 'sacred', 'cow', 'without', 'slammin', 'nice', 'peaceful', 'solution', 'spring', 'mind', 'agree', 'far', 'religion', 'used', 'kill', 'large', 'numbers', 'people', 'usually', 'used', 'form', 'manner', 'originally', 'intended', 'reduce', 'number', 'deaths', 'directly', 'caused', 'religion', 'minor', 'observation', 'fact', 'almost', 'nothing', 'pure', 'universe', 'act', 'honestly', 'attempting', 'find', 'true', 'meaning', 'religious', 'teaching', 'many', 'times', 'inspired', 'hatred', 'led', 'war', 'many', 'people', 'led', 'religious', 'leaders', 'involved', 'absolute', 'truth', 'therefore', 'driven', 'kill', 'leaders', 'point', 'many', 'things', 'involved', 'religion', 'often', 'lead', 'war', 'whether', 'things', 'part', 'religion', 'unpleasant', 'side', 'effect', 'would', 'result', 'people', 'switching', 'religion', 'atheism', 'spontaneously', 'results', 'religious', 'groups', 'long', 'involved', 'majority', 'bloodiest', 'parts', 'man', 'history', 'atheists', 'hand', 'preen', 'preen', 'typically', 'ideological', 'social', 'caste', 'driven', 'organize', 'spread', 'beliefs', 'overuse', 'nazism', 'stalinism', 'show', 'true', 'two', 'groups', 'clear', 'specific', 'ideologies', 'using', 'religious', 'persecution', 'means', 'anyone', 'see', 'obvious', 'namely', 'groups', 'founded', 'reasons', 'entirely', 'used', 'religious', 'persecution', 'belief', 'system', 'made', 'powerfull', 'trying', 'hard', 'basically', 'uses', 'examples', 'wars', 'specifically', 'fought', 'religion', 'many', 'choices', 'well', 'key', 'west', 'flames', 'heating', 'bottom', 'little', 'silver']",alt.atheism,"[-0.40613893  0.53376985 -0.086722    0.2599461   0.2833118   0.05328257
 -0.17088905  0.37465292 -0.27827528  0.45512062 -0.4595711  -0.3910903
 -0.23775707 -0.04214016  0.05804216 -0.05544466  0.18117367 -0.26445433
  0.20170817 -0.34231892  0.21940209  0.2038347   0.07479633 -0.13581942
  0.3562528   0.2985333  -0.2730363  -0.60097426 -0.12363615 -0.08036811
  0.81342655 -0.00912737  0.08030183 -0.27972856 -0.23039249  0.12670343
 -0.2423862  -0.03259102 -0.01513753 -0.5807125   0.34181747 -0.08908188
 -0.16500571  0.15326093 -0.2315731  -0.23427694 -0.42617923  0.22779615
  0.2293601   0.16263598  0.31123236 -0.3008922  -0.09521024  0.29074797
  0.14269508  0.3964481   0.15882368 -0.18667321 -0.4034396   0.23678502
  0.19879824  0.28962594 -0.24870387  0.18412688 -0.09559748  0.17668307
  0.09882863  0.3277253  -0.05994643  0.35657012 -0.19224347  0.14832486
  0.21917841  0.06493127  0.37444302  0.19818385  0.24476081 -0.03931426
  0.03250306 -0.41373277 -0.2751386  -0.2742485  -0.27899468  0.53649527
 -0.01059002 -0.20643492 -0.05529566  0.4487627   0.26438093 -0.14336531
  0.22308984  0.21920653  0.22106344  0.0265413   0.0259113   0.38368875
 -0.00152494 -0.23871146 -0.04384401  0.1114087 ]"
4,"['yes', 'also', 'understanding', 'majority', 'islamic', 'laws', 'however', 'believe', 'also', 'certain', 'legal', 'rulings', 'five', 'schools', 'law', 'levelled', 'muslim', 'within', 'outside', 'know', 'apostasy', 'accompanied', 'active', 'persistent', 'open', 'hostility', 'islam', 'falls', 'category', 'law', 'know', 'historically', 'apostasy', 'rarely', 'punished', 'let', 'alone', 'death', 'penalty', 'understanding', 'ruling', 'based', 'law', 'apostasy', 'alone', 'well', 'known', 'apostate', 'long', 'wrote', 'offending', 'novel', 'certainly', 'precedent', 'hadith', 'islamic', 'history', 'indiscriminantly', 'levelling', 'death', 'penalties', 'apostasy', 'believe', 'charge', 'levelled', 'ruling', 'applies', 'within', 'outside', 'domain', 'islamic', 'state', 'carried', 'individuals', 'reward', 'offered', 'individuals', 'within', 'iran', 'would', 'concur', 'thrust', 'fatwa', 'remember', 'levelled', 'author', 'assisted', 'publication', 'book', 'however', 'charge', 'fasad', 'encompass', 'number', 'lesser', 'charges', 'remember', 'diplomatic', 'relations', 'broke', 'britain', 'iran', 'fatwa', 'iran', 'stressed', 'condemnation', 'author', 'removal', 'book', 'circulation', 'two', 'preliminary', 'conditions', 'resolving', 'crisis', 'correct', 'point', 'banning', 'book', 'main', 'thrust', 'behind', 'fatwa', 'islamic', 'charges', 'levelled', 'people', 'books', 'situation', 'followed', 'iran', 'several', 'months', 'issuance', 'fatwa', 'went', 'media', 'blitz', 'presenting', 'lone', 'knight', 'guarding', 'sacred', 'values', 'secular', 'democracy', 'mocking', 'foolish', 'concerns', 'people', 'crazy', 'enough', 'actually', 'hold', 'religious', 'beliefs', 'sacred', 'fanning', 'flames', 'milking', 'controversy', 'boost', 'image', 'push', 'book', 'everywhere', 'media', 'muslim', 'demonstrators', 'several', 'countries', 'killed', 'protesting', 'book', 'appeared', 'momentarily', 'concerned', 'climbed', 'back', 'media', 'horse', 'attack', 'muslims', 'defend', 'sacred', 'rights', 'point', 'fatwa', 'fasad', 'issued', 'fatwa', 'levelled', 'person', 'actions', 'feed', 'situation', 'contribute', 'legitimization', 'ruling', 'book', 'remains', 'circulation', 'independant', 'author', 'publishers', 'fatwa', 'person', 'encompasses', 'actions', 'well', 'crime', 'certainly', 'crime', 'progress', 'many', 'levels', 'played', 'played', 'full', 'view', 'media']",alt.atheism,"[-0.31977788  0.4211217  -0.06117531  0.20968089  0.22116384  0.02649205
 -0.12894318  0.32761294 -0.2319315   0.3557409  -0.36017388 -0.32766837
 -0.18993251 -0.02917608  0.04548667 -0.04329322  0.14243327 -0.2167918
  0.16416001 -0.29283196  0.18258767  0.16094467  0.06592555 -0.12083552
  0.26980823  0.2403399  -0.22984448 -0.46668425 -0.09606054 -0.06371886
  0.64044535 -0.00983621  0.07668676 -0.22111528 -0.17196271  0.10822612
 -0.1875102  -0.03675882 -0.02739971 -0.47796065  0.2663166  -0.0762819
 -0.14426455  0.12651968 -0.17707525 -0.19424453 -0.34262007  0.17898476
  0.18005824  0.13931811  0.24791546 -0.24168238 -0.07966135  0.23334482
  0.11003704  0.31371534  0.13299833 -0.15030281 -0.3259079   0.19912174
  0.1609499   0.23139653 -0.20354848  0.13975216 -0.0969502   0.15078491
  0.07984073  0.2600224  -0.05586358  0.29425707 -0.15121481  0.12808563
  0.18538739  0.04619285  0.30580908  0.16230455  0.19734032 -0.0308342
  0.01122444 -0.32525802 -0.21532473 -0.20607479 -0.2227622   0.43550915
 -0.01640852 -0.16133684 -0.04625557  0.35924706  0.21487804 -0.10750923
  0.19424415  0.17430328  0.18113133  0.03023851  0.03984021  0.30675268
 -0.00455197 -0.203132   -0.03239129  0.09267832]"
5,"['saying', 'physical', 'humans', 'direct', 'decendents', 'two', 'human', 'able', 'wives', 'could', 'sisters', 'daughters', 'genesis', 'days', 'begat', 'eight', 'hundred', 'years', 'begat', 'sons', 'daughters']",alt.atheism,"[-0.37578487  0.49847394 -0.07535686  0.24769682  0.2587087   0.03859377
 -0.1582571   0.36672318 -0.26924556  0.41830805 -0.4267606  -0.3773931
 -0.22226007 -0.03418941  0.05203257 -0.05384003  0.17014514 -0.25003862
  0.18958427 -0.3278637   0.20451006  0.18888596  0.07512236 -0.13383609
  0.3204614   0.28158915 -0.2602003  -0.55830497 -0.11829552 -0.07639622
  0.75349426 -0.00870471  0.08236447 -0.26053244 -0.210232    0.13043116
 -0.22599477 -0.04005046 -0.02233609 -0.5535567   0.31611866 -0.08064204
 -0.158466    0.14656821 -0.21398966 -0.22746669 -0.40282828  0.21022531
  0.21605556  0.15994623  0.29184115 -0.28191993 -0.09360226  0.26831862
  0.12834474  0.367027    0.15477036 -0.17863396 -0.38145477  0.22322467
  0.18462071  0.26904112 -0.23745815  0.16851825 -0.10379178  0.17123216
  0.09204566  0.30346653 -0.06206086  0.33943564 -0.18024689  0.14117898
  0.21412602  0.05784282  0.35298258  0.18936414  0.22971156 -0.03649143
  0.0195389  -0.38439056 -0.25730622 -0.24735068 -0.2609751   0.50412375
 -0.01227258 -0.19310042 -0.05107538  0.41990846  0.2491574  -0.12975262
  0.21880706  0.20336834  0.207862    0.03015316  0.03573288  0.3577061
 -0.00500319 -0.23121694 -0.04094482  0.10971022]"
6,"['issued', 'relevant', 'anyone', 'issued', 'honest', 'learned', 'scholar', 'islam', 'would', 'relevant', 'muslim', 'would', 'contrary', 'islamic', 'law', 'muslims', 'required', 'respect', 'anyone', 'sufficiently', 'well', 'versed', 'islamic', 'law', 'capable', 'reasoning', 'talking', 'weak', 'sense', 'excuse', 'depends', 'sense', 'excuse', 'mind', 'someone', 'thinks', 'opinion', 'important', 'obviously', 'obviously', 'care', 'care', 'care']",alt.atheism,"[-0.33273223  0.44225442 -0.07705107  0.21366742  0.23562689  0.04280976
 -0.1390751   0.30598128 -0.22881065  0.37475708 -0.37952194 -0.32128835
 -0.19379503 -0.03359416  0.04934451 -0.04954692  0.14699909 -0.21738695
  0.16799694 -0.2755392   0.17703217  0.16765341  0.05865969 -0.11004023
  0.29713953  0.24663788 -0.22128743 -0.4971495  -0.10183052 -0.06589324
  0.66887105 -0.00738708  0.06119031 -0.23277274 -0.19332393  0.10524894
 -0.19898257 -0.02382628 -0.01150235 -0.4724029   0.28227153 -0.07129637
 -0.13461429  0.12367953 -0.19218704 -0.19164248 -0.35032794  0.18948779
  0.18711273  0.13377643  0.25748    -0.24634954 -0.07734617  0.2408782
  0.11757353  0.32855827  0.13089332 -0.15423638 -0.3307139   0.19005561
  0.16180289  0.23665437 -0.20695537  0.15257113 -0.08098963  0.14665295
  0.08323105  0.26864517 -0.05279364  0.29479137 -0.16117468  0.1175545
  0.18558425  0.05344331  0.30787066  0.16466531  0.19923268 -0.03238113
  0.02783141 -0.340007   -0.22691533 -0.23072356 -0.22620541  0.43887728
 -0.00502809 -0.17142543 -0.04749546  0.36840078  0.22040936 -0.11650913
  0.17875467  0.18294708  0.18108596  0.01938766  0.01947112  0.3155393
 -0.00078127 -0.19269252 -0.03620783  0.08909534]"
7,"['somebody', 'reconcile', 'apparent', 'contradiction']",alt.atheism,"[-0.13152464  0.17375807 -0.01993056  0.093283    0.08606867 -0.00554453
 -0.04569303  0.16841759 -0.10324629  0.13740025 -0.13797565 -0.15093161
 -0.07886528 -0.00908539  0.01927502 -0.01654443  0.06122566 -0.09330716
  0.06776372 -0.14042623  0.08556209  0.06040926  0.02636019 -0.06877515
  0.09636039  0.09746731 -0.10008688 -0.17590906 -0.03943573 -0.02533942
  0.25565115 -0.00686081  0.04250303 -0.08691756 -0.04992514  0.05584799
 -0.07206579 -0.02942453 -0.03297332 -0.21044691  0.09689208 -0.0399964
 -0.07938841  0.06267221 -0.07125503 -0.08370346 -0.14262435  0.06643131
  0.06819998  0.06810301  0.10403112 -0.10624447 -0.03971411  0.10624683
  0.04960738  0.1228293   0.05844255 -0.0701608  -0.14538957  0.09138683
  0.07045921  0.09084814 -0.08876252  0.04502596 -0.05372845  0.07110808
  0.02921901  0.10291956 -0.03375023  0.13128787 -0.05577381  0.06987957
  0.0912987   0.01492427  0.12684883  0.07407768  0.0824939  -0.01454414
 -0.00941168 -0.13321693 -0.09179762 -0.07450566 -0.08973652  0.1849611
 -0.01283135 -0.06529026 -0.01694771  0.14578371  0.09060825 -0.03911194
  0.09301138  0.07104558  0.08684141  0.02508663  0.03884743  0.1286165
 -0.00479649 -0.09840023 -0.00877542  0.05148241]"
8,"['oh', 'bet']",alt.atheism,"[-0.14797506  0.20715553 -0.01929307  0.11045053  0.10758626 -0.01122864
 -0.05936361  0.20422237 -0.13264968  0.16284235 -0.16816258 -0.18851224
 -0.09525839 -0.01225494  0.02513556 -0.01730724  0.06994708 -0.10559082
  0.08761751 -0.17991704  0.10343888  0.07007779  0.03867253 -0.0784534
  0.11657682  0.11922877 -0.13322392 -0.21467108 -0.03750128 -0.02846598
  0.30569014 -0.02234215  0.0650354  -0.11148201 -0.06248539  0.06734195
 -0.09387936 -0.04489455 -0.0468349  -0.25039253  0.11771727 -0.0487223
 -0.10275356  0.06907701 -0.0771946  -0.10620338 -0.17268947  0.08004599
  0.07813551  0.08561441  0.11237629 -0.12501279 -0.05488748  0.12050582
  0.04618743  0.15285715  0.07766078 -0.07269503 -0.17397653  0.11481048
  0.07793739  0.11213914 -0.09645768  0.05609638 -0.06873281  0.08814581
  0.0309422   0.12008913 -0.03614419  0.16231605 -0.07197744  0.08931818
  0.10355571  0.023384    0.16450259  0.09255946  0.10198274 -0.01890844
 -0.02074544 -0.15671475 -0.09800862 -0.08547495 -0.1021497   0.22426404
 -0.0302216  -0.06806545 -0.02170793  0.18115509  0.1122714  -0.04383714
  0.12550238  0.08787064  0.10359837  0.02169106  0.04243868  0.1554951
 -0.00366456 -0.11664121 -0.01541028  0.05521123]"
9,"['wait', 'minute', 'know', 'better', 'informed', 'us', 'never', 'invaded', 'nicaragua', 'far', 'know', 'liberated', 'grenada', 'cubans', 'protect', 'us', 'citizens', 'prevent', 'completion', 'strategic', 'air', 'strip', 'panama', 'invaded', 'true', 'twice', 'century', 'vietnam', 'invited', 'government', 'vietnam', 'guess', 'invaded', 'saudi', 'arabia', 'gulf', 'war', 'eh', 'mexico', 'invaded', 'mexico', 'times', 'century', 'missiles', 'anyone', 'shoot', 'time', 'hawaii', 'liberated', 'spain', 'mean', 'word', 'invaded', 'sort', 'military', 'action', 'cross', 'someone', 'border', 'right', 'normally', 'invaded', 'carries', 'connotation', 'attacking', 'autonomous', 'nation', 'nation', 'invades', 'virgin', 'islands', 'would', 'invading', 'virgin', 'islands', 'point', 'view', 'score', 'falls', 'mexico', 'panama', 'someone', 'believes', 'words', 'person', 'would', 'supported', 'giving', 'austria', 'czechoslakia', 'poland', 'could', 'averted', 'war', 'one', 'would', 'allow', 'wipe', 'jews', 'slavs', 'political', 'dissidents', 'areas', 'controlled', 'long', 'left', 'rest', 'us', 'alone', 'supposed', 'bad', 'ask', 'well', 'depends', 'values', 'value', 'life', 'liberty', 'peace', 'freedom', 'guess', 'liberty', 'freedom', 'mean', 'life', 'rather', 'die', 'fighting', 'liberty', 'live', 'tyrant', 'heel', 'yes', 'bad', 'problem', 'consider', 'us', 'like', 'bad', 'unconscionable', 'would', 'argument', 'problem', 'held', 'ideals', 'stayed', 'conflicts', 'issues', 'especially', 'dealing', 'national', 'defense', 'willing', 'allow', 'us', 'legitimately', 'hold', 'different', 'militate', 'many', 'times', 'resort', 'violence', 'name', 'peace', 'rank', 'hypocrisy', 'stop', 'warmongers', 'willing', 'stand', 'defend', 'freedoms', 'tyrants', 'realize', 'requires', 'strong', 'national', 'defense', 'time', 'get', 'soapbox', 'regards']",alt.atheism,"[-0.35948396  0.47671407 -0.07801028  0.22907804  0.25151828  0.04323395
 -0.15136895  0.33958745 -0.25313067  0.40254298 -0.40480354 -0.35112223
 -0.20968358 -0.03716455  0.05248634 -0.0519649   0.16136943 -0.23546845
  0.17973961 -0.30688313  0.19406544  0.1803936   0.06647153 -0.12490026
  0.3130405   0.26397422 -0.24477422 -0.53397626 -0.11319414 -0.06998141
  0.72101295 -0.00919125  0.07571773 -0.25019822 -0.20459251  0.11675731
 -0.21432753 -0.03115921 -0.01505468 -0.517781    0.30366975 -0.08033662
 -0.14726754  0.13750236 -0.20549309 -0.20691593 -0.37880492  0.20101954
  0.20204234  0.1487893   0.27731058 -0.265726   -0.08508199  0.25955522
  0.12624648  0.3512638   0.1427715  -0.16596626 -0.35859323  0.2090906
  0.17553008  0.25635707 -0.22466257  0.1641537  -0.09120658  0.16153115
  0.09068581  0.28881103 -0.05696088  0.31849572 -0.17255685  0.13116996
  0.20053789  0.0564606   0.3312619   0.17730384  0.21810424 -0.03376988
  0.02571949 -0.36617202 -0.2425851  -0.24131428 -0.24839081  0.4776406
 -0.00945305 -0.1848954  -0.05160689  0.39870158  0.2383859  -0.12447281
  0.19761066  0.19648114  0.19636525  0.02537079  0.02666205  0.33888504
 -0.00222049 -0.21409102 -0.0358742   0.09805477]"
