,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
0,0.03172654,-7.798325e-05,-1.1314638e-05,-0.0010785442,-0.0012578431,0.00079191336,0.0015618093,-0.002188433,0.0011084646,0.00030886085,-0.0008158351,-0.0035068938,0.0005449306,-0.0012085779,-0.00103039,0.0011117456,-0.0029917434,0.0005189594,-0.002448846,0.00059145346,comp.windows.x
1,0.04496882,-0.0030415966,-0.00060351344,-0.0018685436,-0.00018506777,0.0011376278,-0.0011264945,-0.000456924,0.00025120447,-0.00032395494,0.0010203277,0.00015078549,-0.0004956408,0.0018623024,-0.00033479242,0.0015029593,0.0012059952,0.0019129496,0.00069899386,-0.0024142335,comp.windows.x
2,0.040630102,0.0026171233,0.00036218308,0.0040838025,-0.0017019159,-0.0007841822,-0.0013308767,0.0014830418,0.00024856534,-0.0016048899,-0.003948708,-0.0026714802,0.0033161363,-0.00020159368,-0.00060808944,-0.0029784765,0.0007295172,0.0022017346,-0.0009892455,0.005817767,comp.windows.x
4,0.047099367,0.0063263658,0.00030842377,0.0024863183,-0.0036929343,0.0046756873,-0.00095729367,-0.0006139377,0.00067393517,-0.00070900394,-0.00068277726,0.002415291,0.0015322684,-0.0041055386,-0.001159928,0.003089221,-0.0012327369,0.0030255686,0.0023802703,0.0014338964,comp.windows.x
5,0.053964257,-0.0028910122,-0.004981963,0.009625746,0.0018460429,0.0021185726,0.0011221952,-0.0029385004,-0.0024093858,0.007600335,0.0012863297,0.0025223596,0.0030035204,-0.0041907397,-0.0038636895,0.001241975,-8.0143756e-05,-0.0025962745,-0.003114382,-0.0052479547,comp.windows.x
6,0.04207732,0.0001435648,-0.00015940546,-0.001210419,0.00061123446,-0.00037236186,0.0003361327,-0.00043024856,0.00017622346,0.002429302,-0.0016279807,-0.005096509,0.00491324,0.0061758813,0.0010881596,-0.00021604076,0.00028566478,-0.0056211352,0.001564848,-0.00049264746,comp.windows.x
7,0.02255478,-0.031830717,0.04092527,-0.0071379286,0.013537123,-0.0026388883,0.004186119,0.002008349,-0.003210634,-0.0018524078,0.0026277825,0.0023931277,-6.916279e-05,-0.0029795503,-0.0032322942,0.00089502754,0.00028666182,0.0009890316,-0.0015858979,0.0026809857,comp.windows.x
8,0.037512112,-0.0064178593,0.005733587,-0.0008948419,0.00070935505,0.0044783195,0.0027108602,0.009909552,0.001323699,0.0055636596,0.0020406852,-0.010213329,0.0010513217,0.0044664987,-0.0030048923,0.00055490085,-0.002128551,-0.00033326415,0.000763211,0.0023187145,comp.windows.x
9,0.023822896,0.011917226,0.0011555766,-0.008088965,0.000305645,0.015038274,0.006802482,-0.0045457203,-0.0018942982,-0.0011131027,-0.00042043417,0.0033394282,-0.002779676,0.0013580334,-0.001962134,0.004620742,0.002335688,0.0019504527,0.0024281412,-0.0015380695,comp.windows.x
10,0.042397264,-0.002517709,0.0001370187,0.005249444,0.0020128402,0.004296456,-0.0027376097,0.0029596684,-0.0041896305,4.6922065e-05,0.0037879758,0.005077769,-8.073514e-05,-0.0047626817,0.0024245218,-0.0022986077,0.0021731886,-0.0030418474,-0.00023323383,-0.00035259398,comp.windows.x
